asset_id,app_raw_name,variant,count,intended_use
voice_count_01,rep_01,base,1,default cadence
voice_count_02,rep_02,base,2,default cadence
voice_count_03,rep_03,base,3,default cadence
voice_count_04,rep_04,base,4,default cadence
voice_count_05,rep_05,base,5,default cadence
voice_count_06,rep_06,base,6,default cadence
voice_count_07,rep_07,base,7,default cadence
voice_count_08,rep_08,base,8,default cadence
voice_count_09,rep_09,base,9,default cadence
voice_count_10,rep_10,base,10,default cadence
voice_count_11,rep_11,base,11,default cadence
voice_count_12,rep_12,base,12,default cadence
voice_count_13,rep_13,base,13,default cadence
voice_count_14,rep_14,base,14,default cadence
voice_count_15,rep_15,base,15,default cadence
voice_count_16,rep_16,base,16,default cadence
voice_count_17,rep_17,base,17,default cadence
voice_count_18,rep_18,base,18,default cadence
voice_count_19,rep_19,base,19,default cadence
voice_count_20,rep_20,base,20,default cadence
voice_count_21,rep_21,base,21,default cadence
voice_count_22,rep_22,base,22,default cadence
voice_count_23,rep_23,base,23,default cadence
voice_count_24,rep_24,base,24,default cadence
voice_count_25,rep_25,base,25,default cadence
voice_count_26,rep_26,base,26,default cadence
voice_count_27,rep_27,base,27,default cadence
voice_count_28,rep_28,base,28,default cadence
voice_count_29,rep_29,base,29,default cadence
voice_count_30,rep_30,base,30,default cadence
voice_count_steady_01,rep_steady_01,steady,1,slower cadence
voice_count_steady_02,rep_steady_02,steady,2,slower cadence
voice_count_steady_03,rep_steady_03,steady,3,slower cadence
voice_count_steady_04,rep_steady_04,steady,4,slower cadence
voice_count_steady_05,rep_steady_05,steady,5,slower cadence
voice_count_steady_06,rep_steady_06,steady,6,slower cadence
voice_count_steady_07,rep_steady_07,steady,7,slower cadence
voice_count_steady_08,rep_steady_08,steady,8,slower cadence
voice_count_steady_09,rep_steady_09,steady,9,slower cadence
voice_count_steady_10,rep_steady_10,steady,10,slower cadence
voice_count_steady_11,rep_steady_11,steady,11,slower cadence
voice_count_steady_12,rep_steady_12,steady,12,slower cadence
voice_count_steady_13,rep_steady_13,steady,13,slower cadence
voice_count_steady_14,rep_steady_14,steady,14,slower cadence
voice_count_steady_15,rep_steady_15,steady,15,slower cadence
voice_count_steady_16,rep_steady_16,steady,16,slower cadence
voice_count_steady_17,rep_steady_17,steady,17,slower cadence
voice_count_steady_18,rep_steady_18,steady,18,slower cadence
voice_count_steady_19,rep_steady_19,steady,19,slower cadence
voice_count_steady_20,rep_steady_20,steady,20,slower cadence
voice_count_steady_21,rep_steady_21,steady,21,slower cadence
voice_count_steady_22,rep_steady_22,steady,22,slower cadence
voice_count_steady_23,rep_steady_23,steady,23,slower cadence
voice_count_steady_24,rep_steady_24,steady,24,slower cadence
voice_count_steady_25,rep_steady_25,steady,25,slower cadence
voice_count_steady_26,rep_steady_26,steady,26,slower cadence
voice_count_steady_27,rep_steady_27,steady,27,slower cadence
voice_count_steady_28,rep_steady_28,steady,28,slower cadence
voice_count_steady_29,rep_steady_29,steady,29,slower cadence
voice_count_steady_30,rep_steady_30,steady,30,slower cadence
voice_count_31,rep_31,base,31,default cadence
voice_count_32,rep_32,base,32,default cadence
voice_count_33,rep_33,base,33,default cadence
voice_count_34,rep_34,base,34,default cadence
voice_count_35,rep_35,base,35,default cadence
voice_count_36,rep_36,base,36,default cadence
voice_count_37,rep_37,base,37,default cadence
voice_count_38,rep_38,base,38,default cadence
voice_count_39,rep_39,base,39,default cadence
voice_count_40,rep_40,base,40,default cadence
voice_count_41,rep_41,base,41,default cadence
voice_count_42,rep_42,base,42,default cadence
voice_count_43,rep_43,base,43,default cadence
voice_count_44,rep_44,base,44,default cadence
voice_count_45,rep_45,base,45,default cadence
voice_count_46,rep_46,base,46,default cadence
voice_count_47,rep_47,base,47,default cadence
voice_count_48,rep_48,base,48,default cadence
voice_count_49,rep_49,base,49,default cadence
voice_count_50,rep_50,base,50,default cadence
voice_count_steady_31,rep_steady_31,steady,31,slower cadence
voice_count_steady_32,rep_steady_32,steady,32,slower cadence
voice_count_steady_33,rep_steady_33,steady,33,slower cadence
voice_count_steady_34,rep_steady_34,steady,34,slower cadence
voice_count_steady_35,rep_steady_35,steady,35,slower cadence
voice_count_steady_36,rep_steady_36,steady,36,slower cadence
voice_count_steady_37,rep_steady_37,steady,37,slower cadence
voice_count_steady_38,rep_steady_38,steady,38,slower cadence
voice_count_steady_39,rep_steady_39,steady,39,slower cadence
voice_count_steady_40,rep_steady_40,steady,40,slower cadence
voice_count_steady_41,rep_steady_41,steady,41,slower cadence
voice_count_steady_42,rep_steady_42,steady,42,slower cadence
voice_count_steady_43,rep_steady_43,steady,43,slower cadence
voice_count_steady_44,rep_steady_44,steady,44,slower cadence
voice_count_steady_45,rep_steady_45,steady,45,slower cadence
voice_count_steady_46,rep_steady_46,steady,46,slower cadence
voice_count_steady_47,rep_steady_47,steady,47,slower cadence
voice_count_steady_48,rep_steady_48,steady,48,slower cadence
voice_count_steady_49,rep_steady_49,steady,49,slower cadence
voice_count_steady_50,rep_steady_50,steady,50,slower cadence
voice_count_focus_01,rep_focus_01,focus,1,emphasized milestone
voice_count_focus_05,rep_focus_05,focus,5,emphasized milestone
voice_count_focus_10,rep_focus_10,focus,10,emphasized milestone
voice_count_focus_15,rep_focus_15,focus,15,emphasized milestone
voice_count_focus_20,rep_focus_20,focus,20,emphasized milestone
voice_count_focus_25,rep_focus_25,focus,25,emphasized milestone
voice_count_focus_30,rep_focus_30,focus,30,emphasized milestone
voice_count_focus_35,rep_focus_35,focus,35,emphasized milestone
voice_count_focus_40,rep_focus_40,focus,40,emphasized milestone
voice_count_focus_45,rep_focus_45,focus,45,emphasized milestone
voice_count_focus_50,rep_focus_50,focus,50,emphasized milestone
