asset_id,text
voice_coach_ready,"Ready."
voice_trainer_ready,"Ready."
voice_coach_set_started,"Start."
voice_trainer_set_started,"Go."
voice_coach_set_complete,"Set complete."
voice_trainer_set_complete,"Done."
voice_coach_connection_lost,"Connection lost. Hold tight."
voice_trainer_connection_lost,"Connection lost."
voice_coach_duration_10,"10 seconds left."
voice_trainer_duration_10,"10 left."
voice_coach_duration_5,"5 seconds left."
voice_trainer_duration_5,"5 left."
voice_coach_rom_warning_normal,"Finish the range."
voice_trainer_rom_warning_normal,"More range."
voice_coach_rom_warning_high,"Get full range."
voice_trainer_rom_warning_high,"Full range."
voice_coach_tempo_warning_normal,"Steady tempo."
voice_trainer_tempo_warning_normal,"Steady tempo."
voice_coach_tempo_warning_high,"Slow the rep."
voice_trainer_tempo_warning_high,"Slow down."
voice_coach_symmetry_warning_normal,"Keep both sides even."
voice_trainer_symmetry_warning_normal,"Balance sides."
voice_coach_symmetry_warning_high,"Match both sides."
voice_trainer_symmetry_warning_high,"Match sides."
voice_coach_smoothness_warning_normal,"Smooth the rep."
voice_trainer_smoothness_warning_normal,"Smooth rep."
voice_coach_smoothness_warning_high,"Clean up the rep."
voice_trainer_smoothness_warning_high,"Clean reps."
voice_coach_eccentric_control_warning_normal,"Control the lowering."
voice_trainer_eccentric_control_warning_normal,"Control lowering."
voice_coach_eccentric_control_warning_high,"Slow the lowering."
voice_trainer_eccentric_control_warning_high,"Slow the drop."
voice_coach_fatigue_drop_normal,"Power is dropping."
voice_trainer_fatigue_drop_normal,"Power dip."
voice_coach_fatigue_drop_high,"Power is fading."
voice_trainer_fatigue_drop_high,"Power drop."
voice_coach_velocity_drop_normal,"Speed is dropping."
voice_trainer_velocity_drop_normal,"Speed drop."
voice_coach_velocity_drop_high,"Drive faster."
voice_trainer_velocity_drop_high,"Drive faster."
voice_coach_set_best_power_normal,"Best one so far."
voice_trainer_set_best_power_normal,"New best power."
voice_coach_set_best_power_high,"New best power."
voice_trainer_set_best_power_high,"Best power yet."
voice_coach_strong_rep_normal,"Good one."
voice_trainer_strong_rep_normal,"Good one."
voice_coach_strong_rep_high,"Strong one. Again."
voice_trainer_strong_rep_high,"Strong one."
voice_coach_consistency_warning_normal,"Match that rep."
voice_trainer_consistency_warning_normal,"Match rep."
voice_coach_consistency_warning_high,"Every rep the same."
voice_trainer_consistency_warning_high,"Same reps."
voice_coach_explosive_rep_normal,"Fast rep."
voice_trainer_explosive_rep_normal,"Fast rep."
voice_coach_explosive_rep_high,"Explosive rep."
voice_trainer_explosive_rep_high,"Explosive rep."
voice_coach_preview_off,"Coach off. Alerts only."
voice_trainer_preview_off,"Off. Alerts only."
voice_coach_preview_minimal,"Minimal coaching. Just the key calls."
voice_trainer_preview_minimal,"Minimal. Key cues only."
voice_coach_preview_standard,"Standard coaching. Data-driven cues."
voice_trainer_preview_standard,"Standard. Data-driven."
voice_preview_count_sample,"one, two, three"
voice_count_01,"one"
voice_count_02,"two"
voice_count_03,"three."
voice_count_04,"four."
voice_count_05,"five"
voice_count_06,"six"
voice_count_07,"seven"
voice_count_08,"eight"
voice_count_09,"nine"
voice_count_10,"ten"
voice_count_11,"eleven"
voice_count_12,"twelve"
voice_count_13,"thirteen"
voice_count_14,"fourteen"
voice_count_15,"fifteen"
voice_count_16,"sixteen"
voice_count_17,"seventeen"
voice_count_18,"eighteen"
voice_count_19,"nineteen"
voice_count_20,"twenty"
voice_count_21,"twenty one"
voice_count_22,"twenty two"
voice_count_23,"twenty three"
voice_count_24,"twenty four"
voice_count_25,"twenty five"
voice_count_26,"twenty six"
voice_count_27,"twenty seven"
voice_count_28,"twenty eight"
voice_count_29,"twenty nine"
voice_count_30,"thirty"
voice_count_steady_01,"one"
voice_count_steady_02,"two"
voice_count_steady_03,"three"
voice_count_steady_04,"four."
voice_count_steady_05,"five"
voice_count_steady_06,"six"
voice_count_steady_07,"seven"
voice_count_steady_08,"eight"
voice_count_steady_09,"nine"
voice_count_steady_10,"ten"
voice_count_steady_11,"eleven"
voice_count_steady_12,"twelve"
voice_count_steady_13,"thirteen"
voice_count_steady_14,"fourteen"
voice_count_steady_15,"fifteen"
voice_count_steady_16,"sixteen"
voice_count_steady_17,"seventeen"
voice_count_steady_18,"eighteen"
voice_count_steady_19,"nineteen"
voice_count_steady_20,"twenty"
voice_count_steady_21,"twenty one"
voice_count_steady_22,"twenty two"
voice_count_steady_23,"twenty three"
voice_count_steady_24,"twenty four"
voice_count_steady_25,"twenty five"
voice_count_steady_26,"twenty six"
voice_count_steady_27,"twenty seven"
voice_count_steady_28,"twenty eight"
voice_count_steady_29,"twenty nine"
voice_count_steady_30,"thirty"
voice_count_focus_01,"one"
voice_count_focus_05,"five"
voice_count_focus_10,"ten"
